iter	Passed	Remaining
0	100	30175
1	153	22907
2	260	25815
3	328	24276
4	379	22365
5	434	21272
6	476	19936
7	507	18539
8	538	17399
9	568	16498
10	605	15918
11	634	15239
12	670	14793
13	711	14534
14	751	14272
15	788	13991
16	819	13637
17	855	13402
18	894	13223
19	926	12977
20	956	12706
21	988	12490
22	1031	12427
23	1072	12335
24	1118	12307
25	1172	12351
26	1220	12341
27	1260	12244
28	1306	12210
29	1335	12019
30	1366	11856
31	1399	11722
32	1430	11576
33	1469	11493
34	1512	11452
35	1551	11378
36	1589	11297
37	1630	11242
38	1668	11165
39	1713	11139
40	1748	11045
41	1786	10972
42	1828	10927
43	1868	10872
44	1907	10811
45	1949	10764
46	1981	10668
47	2016	10586
48	2050	10502
49	2079	10399
50	2116	10333
51	2150	10254
52	2179	10158
53	2212	10081
54	2247	10011
55	2282	9944
56	2316	9876
57	2349	9802
58	2378	9714
59	2408	9635
60	2439	9558
61	2472	9492
62	2504	9422
63	2536	9352
64	2570	9293
65	2601	9222
66	2630	9147
67	2661	9079
68	2693	9017
69	2723	8948
70	2757	8893
71	2793	8847
72	2827	8793
73	2860	8736
74	2896	8689
75	2926	8624
76	2959	8570
77	3010	8568
78	3055	8547
79	3103	8535
80	3150	8517
81	3187	8473
82	3225	8433
83	3266	8400
84	3307	8365
85	3341	8315
86	3374	8261
87	3420	8239
88	3460	8204
89	3504	8176
90	3545	8143
91	3583	8102
92	3621	8061
93	3665	8032
94	3704	7994
95	3748	7966
96	3818	7991
97	3905	8049
98	3954	8028
99	4013	8026
100	4068	8015
101	4120	7998
102	4172	7980
103	4218	7951
104	4285	7959
105	4335	7934
106	4383	7906
107	4429	7875
108	4479	7850
109	4521	7810
110	4567	7777
111	4616	7749
112	4666	7722
113	4709	7684
114	4747	7636
115	4787	7594
116	4827	7550
117	4874	7518
118	4929	7498
119	4966	7449
120	5005	7404
121	5039	7353
122	5072	7299
123	5114	7259
124	5151	7212
125	5193	7172
126	5231	7126
127	5268	7078
128	5313	7043
129	5349	6995
130	5388	6952
131	5427	6907
132	5466	6863
133	5506	6821
134	5545	6778
135	5581	6731
136	5625	6693
137	5660	6644
138	5699	6601
139	5739	6559
140	5782	6520
141	5822	6478
142	5859	6433
143	5896	6388
144	5941	6351
145	5981	6309
146	6021	6266
147	6058	6221
148	6094	6176
149	6142	6142
150	6174	6092
151	6197	6034
152	6236	5991
153	6270	5944
154	6310	5903
155	6353	5864
156	6404	5833
157	6442	5789
158	6484	5750
159	6518	5703
160	6567	5670
161	6598	5620
162	6640	5581
163	6678	5538
164	6721	5499
165	6760	5457
166	6811	5424
167	6845	5378
168	6877	5331
169	6907	5281
170	6937	5233
171	6974	5190
172	7004	5141
173	7034	5094
174	7068	5048
175	7096	5000
176	7131	4955
177	7164	4910
178	7195	4863
179	7224	4816
180	7256	4770
181	7293	4728
182	7330	4686
183	7359	4639
184	7396	4597
185	7435	4557
186	7470	4514
187	7502	4469
188	7544	4430
189	7584	4391
190	7629	4354
191	7673	4316
192	7714	4276
193	7749	4234
194	7784	4191
195	7830	4154
196	7871	4115
197	7910	4074
198	7953	4036
199	7995	3997
200	8027	3953
201	8062	3911
202	8103	3872
203	8148	3834
204	8194	3797
205	8233	3757
206	8276	3718
207	8315	3677
208	8352	3636
209	8390	3596
210	8431	3556
211	8481	3520
212	8545	3490
213	8591	3452
214	8636	3414
215	8690	3379
216	8777	3357
217	8826	3320
218	8868	3280
219	8914	3241
220	8952	3200
221	9015	3167
222	9051	3125
223	9092	3085
224	9132	3044
225	9176	3004
226	9216	2963
227	9251	2921
228	9291	2880
229	9333	2840
230	9374	2800
231	9415	2759
232	9456	2719
233	9494	2677
234	9534	2637
235	9575	2596
236	9611	2554
237	9654	2514
238	9691	2473
239	9728	2432
240	9768	2391
241	9805	2350
242	9849	2310
243	9888	2269
244	9924	2227
245	9964	2187
246	10009	2147
247	10046	2106
248	10085	2065
249	10124	2024
250	10168	1985
251	10213	1945
252	10260	1906
253	10297	1864
254	10338	1824
255	10379	1783
256	10437	1746
257	10491	1707
258	10560	1671
259	10600	1630
260	10635	1589
261	10679	1548
262	10724	1508
263	10772	1468
264	10829	1430
265	10892	1392
266	10955	1354
267	11005	1314
268	11050	1273
269	11110	1234
270	11159	1194
271	11211	1154
272	11263	1114
273	11310	1073
274	11358	1032
275	11401	991
276	11437	949
277	11474	908
278	11517	866
279	11559	825
280	11598	784
281	11636	742
282	11674	701
283	11713	659
284	11754	618
285	11850	580
286	11891	538
287	11946	497
288	11987	456
289	12077	416
290	12160	376
291	12211	334
292	12247	292
293	12284	250
294	12321	208
295	12370	167
296	12406	125
297	12444	83
298	12480	41
299	12522	0
